,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,full_name,age
2129,2130,F,95,1990-01-01,Structural Engineer,Property,High Net Worth,N,Yes,16.0,Evangelina-Coxhell,32
2131,2132,F,16,1985-02-02,Human Resources Manager,Financial Services,High Net Worth,N,Yes,22.0,Davina-Dougary,37
2132,2133,F,44,1998-01-20,General Manager,Financial Services,High Net Worth,N,No,3.0,Clarissa-Blaisdale,24
2133,2134,M,16,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,No,2.0,Crosby-Ruoff,22
2135,2136,F,21,1965-07-12,Office Assistant I,Health,High Net Worth,N,Yes,5.0,Heather-Golsworthy,57
2136,2137,F,46,1971-06-22,Chemical Engineer,Manufacturing,Affluent Customer,N,No,5.0,Renie-nan,51
2137,2138,F,23,1978-11-28,Graphic Designer,Manufacturing,High Net Worth,N,No,15.0,Jonell-Gon,44
2138,2139,F,87,1982-02-06,Accountant II,IT,Affluent Customer,N,Yes,7.0,Carolina-Brands,40
2139,2140,M,59,1976-09-30,Help Desk Operator,Telecommunications,High Net Worth,N,No,21.0,Hilario-Ramsdell,46
2140,2141,F,50,1964-08-21,Programmer I,Financial Services,High Net Worth,N,Yes,4.0,Georgie-Bruggen,58
2143,2144,F,12,1978-04-11,Office Assistant IV,Property,Mass Customer,N,Yes,9.0,Maureene-Kingstne,44
2144,2145,F,44,1959-11-11,Librarian,Entertainment,Affluent Customer,N,Yes,19.0,Adrea-Quittonden,63
2147,2148,F,78,1989-03-20,Engineer I,Manufacturing,Mass Customer,N,Yes,15.0,Annis-Freeth,33
2151,2152,F,40,1968-11-05,Database Administrator III,Manufacturing,Mass Customer,N,Yes,19.0,Junina-Labone,54
2152,2153,M,22,1986-10-13,Financial Analyst,Financial Services,Mass Customer,N,No,10.0,Jimmy-nan,36
2153,2154,F,86,1980-01-08,Chemical Engineer,Manufacturing,High Net Worth,N,No,6.0,Bird-Bolf,42
2155,2156,M,96,1977-04-08,Desktop Support Technician,Retail,Mass Customer,N,Yes,18.0,Darill-Mowday,45
2156,2157,F,52,1978-01-30,Community Outreach Specialist,Property,Mass Customer,N,No,19.0,Alidia-Petyankin,44
2157,2158,M,11,1960-12-18,Physical Therapy Assistant,Entertainment,Mass Customer,N,No,6.0,Caesar-Begbie,62
2159,2160,F,64,1971-06-26,Recruiter,Health,Mass Customer,N,Yes,15.0,Kettie-Cantopher,51
2161,2162,M,49,1974-05-09,Paralegal,Financial Services,High Net Worth,N,Yes,10.0,Andrew-Blunt,48
2163,2164,F,12,1973-08-16,Financial Analyst,Financial Services,Mass Customer,N,Yes,18.0,Toinette-Clementson,49
2165,2166,F,78,1984-11-09,Nurse,Property,Mass Customer,N,No,16.0,Mareah-Woodnutt,38
2166,2167,F,31,1997-07-11,Librarian,Entertainment,Mass Customer,N,No,1.0,Laina-Semorad,25
2167,2168,M,83,1974-11-16,VP Accounting,Financial Services,Mass Customer,N,Yes,17.0,Levon-Woollard,48
2168,2169,M,80,1979-02-28,Senior Financial Analyst,Financial Services,Mass Customer,N,No,18.0,Jarrad-Atwell,43
2169,2170,M,27,1963-04-27,Geological Engineer,Manufacturing,Affluent Customer,N,No,6.0,Dewitt-Laight,59
2170,2171,F,21,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0,Laryssa-Maes,52
2171,2172,M,6,1979-01-05,Information Systems Manager,Health,Affluent Customer,N,Yes,13.0,Emmery-Angrock,43
2172,2173,F,27,1976-09-21,Help Desk Technician,IT,Mass Customer,N,Yes,22.0,Gracia-McAteer,46
2173,2174,M,32,1962-09-21,Account Executive,Argiculture,High Net Worth,N,No,11.0,Rock-Vickerstaff,60
2174,2175,M,23,1985-11-01,Web Developer III,Health,Mass Customer,N,No,13.0,Elvyn-Bullas,37
2175,2176,F,79,1962-11-09,Accountant II,Property,High Net Worth,N,Yes,12.0,Josie-Gallemore,60
2176,2177,M,35,1977-10-08,Social Worker,Health,Mass Customer,N,No,9.0,Waverly-Creebo,45
2177,2178,F,20,1954-03-18,Mechanical Systems Engineer,Retail,Mass Customer,N,No,12.0,Veriee-Colthard,68
2178,2179,M,15,1960-08-20,Desktop Support Technician,Manufacturing,Mass Customer,N,No,17.0,Benson-cornhill,62
2180,2181,M,99,1974-07-17,Account Executive,IT,Mass Customer,N,Yes,8.0,Tobe-Roxby,48
2181,2182,M,47,1967-04-23,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,16.0,Symon-Minchin,55
2182,2183,F,61,1972-02-07,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0,Jillie-Fyndon,50
2183,2184,M,49,1971-12-05,Statistician III,Health,Mass Customer,N,No,11.0,Lamar-Gladman,51
2184,2185,F,40,1963-10-15,Human Resources Assistant II,Property,Mass Customer,N,No,19.0,Gayle-Gridley,59
2185,2186,F,61,1963-03-18,Clinical Specialist,Health,High Net Worth,N,No,5.0,Carolina-Sexty,59
2186,2187,F,52,1997-12-27,Budget/Accounting Analyst I,Health,Mass Customer,N,No,2.0,Brunhilde-Kendall,25
2188,2189,M,43,1998-02-25,Safety Technician II,Financial Services,High Net Worth,N,No,4.0,Thedric-nan,24
2193,2194,F,79,1958-09-10,Electrical Engineer,Manufacturing,Affluent Customer,N,Yes,11.0,Johnette-O'Fergus,64
2194,2195,F,94,1987-05-02,GIS Technical Architect,Financial Services,Affluent Customer,N,Yes,13.0,Nevsa-Taill,35
2195,2196,M,66,1976-06-08,Media Manager I,Retail,High Net Worth,N,Yes,7.0,Skylar-Brise,46
2196,2197,M,32,1993-09-16,Programmer Analyst I,Financial Services,Mass Customer,N,No,7.0,Filip-Willows,29
2197,2198,M,1,1998-01-10,Editor,Property,Affluent Customer,N,Yes,1.0,Marijn-Arnoll,24
2198,2199,F,89,1983-02-09,Account Coordinator,Property,High Net Worth,N,Yes,13.0,Leigha-Ranger,39
2200,2201,F,56,1998-12-12,Design Engineer,Financial Services,Affluent Customer,N,Yes,1.0,Trisha-Basset,24
2201,2202,F,46,1977-08-19,Physical Therapy Assistant,Financial Services,Affluent Customer,N,Yes,8.0,Diannne-Neissen,45
2202,2203,M,13,1998-12-23,Sales Associate,Health,High Net Worth,N,Yes,2.0,Ganny-Alessandrelli,24
2203,2204,F,16,1967-09-07,Librarian,Entertainment,High Net Worth,N,No,7.0,Kacie-Barthram,55
2205,2206,M,60,1957-05-25,Structural Engineer,Financial Services,Affluent Customer,N,No,14.0,Osmond-McCamish,65
2206,2207,F,93,1979-01-26,Web Designer IV,Manufacturing,Mass Customer,N,Yes,16.0,Junia-Gall,43
2208,2209,M,4,1993-08-04,Registered Nurse,Health,Affluent Customer,N,Yes,3.0,Rriocard-Gavan,29
2209,2210,M,16,1985-11-24,Registered Nurse,Health,High Net Worth,N,No,5.0,Kirby-Cameron,37
2211,2212,F,22,1974-05-13,Technical Writer,Manufacturing,Affluent Customer,N,Yes,20.0,Adrianne-Raoux,48
2214,2215,F,50,1971-02-20,Structural Engineer,Financial Services,Mass Customer,N,Yes,18.0,Viola-Wadhams,51
2215,2216,F,29,1962-01-02,Systems Administrator II,Property,High Net Worth,N,Yes,10.0,Clarinda-Woffinden,60
2216,2217,M,98,1981-10-17,Paralegal,Financial Services,Mass Customer,N,No,16.0,Kristofor-Juris,41
2217,2218,F,94,1992-05-27,Senior Sales Associate,Health,Affluent Customer,N,No,4.0,Madelena-Blincoe,30
2219,2220,M,35,1959-05-13,Legal Assistant,Financial Services,Mass Customer,N,Yes,13.0,Curr-Jancey,63
2220,2221,M,80,1995-11-07,General Manager,Argiculture,Affluent Customer,N,No,7.0,Tye-Scottini,27
2221,2222,F,20,1974-08-26,Professor,Financial Services,Mass Customer,N,No,14.0,Caroline-Grabban,48
2222,2223,F,38,1981-01-29,Professor,Health,Mass Customer,N,No,12.0,Sarita-Georgiev,41
2223,2224,F,3,1998-08-18,Budget/Accounting Analyst III,Retail,High Net Worth,N,Yes,4.0,Sydel-Seccombe,24
2224,2225,F,45,1988-04-02,Occupational Therapist,Health,Affluent Customer,N,No,19.0,Christina-Easum,34
2225,2226,F,10,1955-07-22,Biostatistician II,Entertainment,Mass Customer,N,No,11.0,Hedvig-Flatt,67
2226,2227,M,45,1976-07-16,Systems Administrator I,Property,Affluent Customer,N,Yes,9.0,Duff-Kemble,46
2227,2228,F,12,1956-03-09,Geological Engineer,Manufacturing,High Net Worth,N,No,9.0,Rosita-Soppeth,66
2228,2229,F,76,1959-04-10,Cost Accountant,Financial Services,Affluent Customer,N,Yes,7.0,Linette-Gotmann,63
2233,2234,M,48,1986-09-09,Electrical Engineer,Manufacturing,Mass Customer,N,No,18.0,Dylan-Hanvey,36
2234,2235,F,75,1979-10-02,Social Worker,Health,Affluent Customer,N,No,16.0,Maxine-Cauldwell,43
2235,2236,M,0,1968-04-16,Data Coordiator,Manufacturing,Affluent Customer,N,Yes,13.0,Arin-Crickmoor,54
2237,2238,F,96,1978-09-14,Director of Sales,Retail,Mass Customer,N,Yes,14.0,Nata-Plinck,44
2238,2239,F,0,1960-01-11,Associate Professor,Property,High Net Worth,N,Yes,8.0,Jocelyne-Pasquale,62
2239,2240,M,4,1969-07-25,Automation Specialist III,Manufacturing,High Net Worth,N,Yes,16.0,Niall-Hallifax,53
2240,2241,M,45,1975-02-23,Paralegal,Financial Services,High Net Worth,N,No,10.0,Augy-Jerrems,47
2243,2244,M,97,1972-05-10,Software Test Engineer III,Manufacturing,Mass Customer,N,No,5.0,Sidney-Cargon,50
2244,2245,F,11,1980-04-21,Marketing Manager,Argiculture,Mass Customer,N,No,3.0,Elsinore-Banbrook,42
2246,2247,F,17,1995-01-20,Teacher,Retail,High Net Worth,N,Yes,1.0,Gweneth-Wilkins,27
2247,2248,F,33,1996-05-23,Software Engineer I,Manufacturing,Mass Customer,N,No,1.0,Helsa-Grandisson,26
2252,2253,F,28,1959-02-08,Office Assistant I,Manufacturing,Affluent Customer,N,Yes,13.0,Gracie-Kubacki,63
2253,2254,F,36,1955-10-21,Programmer Analyst II,Health,Affluent Customer,N,No,18.0,Ann-Beek,67
2254,2255,M,92,1992-07-11,Dental Hygienist,Health,Affluent Customer,N,Yes,5.0,Iorgo-Krol,30
2255,2256,F,28,1978-02-26,Marketing Manager,Retail,Mass Customer,N,No,15.0,Mara-Rosterne,44
2256,2257,M,27,1977-10-13,Librarian,Entertainment,Mass Customer,N,No,15.0,Siward-Corradino,45
2257,2258,F,63,1974-03-21,Account Executive,Retail,High Net Worth,N,No,7.0,Cathy-Powter,48
2259,2260,M,38,1967-02-09,Administrative Assistant IV,Argiculture,High Net Worth,N,No,11.0,Jarad-Barthropp,55
2260,2261,M,81,1980-09-21,Account Representative II,Health,Mass Customer,N,Yes,13.0,Gerome-Monshall,42
2261,2262,F,90,1984-04-21,Pharmacist,Health,Mass Customer,N,Yes,2.0,Nyssa-Banister,38
2262,2263,F,79,1987-02-06,Professor,Argiculture,Mass Customer,N,Yes,21.0,Lois-Sorel,35
2263,2264,F,18,1972-07-17,Occupational Therapist,Health,Affluent Customer,N,No,9.0,Tony-Shirley,50
2267,2268,F,66,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0,Wilhelmina-Gothup,57
2269,2270,M,50,1966-09-28,Information Systems Manager,Retail,Affluent Customer,N,No,9.0,Augustus-Edleston,56
2271,2272,F,82,1994-12-21,Internal Auditor,Manufacturing,Mass Customer,N,No,1.0,Grete-Hindenburg,28
2273,2274,F,15,1979-11-26,Budget/Accounting Analyst IV,Manufacturing,Mass Customer,N,Yes,13.0,Nada-Reinert,43
2274,2275,F,77,1992-07-19,Human Resources Assistant II,Financial Services,High Net Worth,N,Yes,8.0,Ursulina-Carter,30
2276,2277,F,44,1963-08-22,Cost Accountant,Financial Services,High Net Worth,N,Yes,7.0,Gillie-Ruben,59
2277,2278,M,11,1977-09-25,Product Engineer,Health,Affluent Customer,N,Yes,8.0,Gerri-Heliet,45
2278,2279,M,42,1979-03-19,Human Resources Assistant II,Health,Mass Customer,N,No,3.0,Garrett-Szymon,43
2281,2282,M,81,1957-02-25,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,7.0,Dominic-Gregoletti,65
2283,2284,F,83,1974-02-16,Staff Accountant IV,Telecommunications,High Net Worth,N,No,14.0,Ola-Lenoir,48
2284,2285,F,71,1973-10-27,Quality Control Specialist,Health,High Net Worth,N,No,5.0,Maritsa-Bellison,49
2285,2286,F,20,1995-06-02,Staff Scientist,Manufacturing,High Net Worth,N,No,5.0,Katuscha-Sapsed,27
2286,2287,F,53,1974-04-22,Human Resources Assistant I,Telecommunications,High Net Worth,N,No,20.0,Gisela-Partener,48
2287,2288,M,63,1964-05-04,Staff Scientist,Manufacturing,High Net Worth,N,No,8.0,Cirillo-Hook,58
2288,2289,F,97,1980-09-25,Research Nurse,Health,Affluent Customer,N,Yes,13.0,Kissie-Steanson,42
2289,2290,M,18,1981-03-10,Account Executive,Manufacturing,Mass Customer,N,Yes,5.0,Myca-Standley,41
2290,2291,M,67,1971-04-13,Accountant IV,Manufacturing,Affluent Customer,N,Yes,4.0,Guido-Meynell,51
2291,2292,F,17,1998-06-02,Research Nurse,Health,Mass Customer,N,Yes,2.0,Christie-MacClure,24
2292,2293,F,70,1958-03-07,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,Engracia-Newcom,64
2293,2294,M,25,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,Skipton-Cordie,35
2295,2296,F,16,2002-01-01,Geologist IV,Retail,Affluent Customer,N,No,1.0,Nathalia-Sanger,20
2296,2297,F,16,1971-11-27,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,19.0,Pauletta-Taffee,51
2297,2298,M,64,1997-10-28,Environmental Tech,Property,Mass Customer,N,Yes,5.0,Brigham-Vyse,25
2298,2299,M,11,1986-10-21,Computer Systems Analyst I,Property,High Net Worth,N,Yes,7.0,Mahmoud-Dagworthy,36
2300,2301,M,66,1966-10-30,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,19.0,Ken-Vashchenko,56
2301,2302,F,43,1999-01-09,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4.0,Loraine-Beamish,23
2302,2303,M,22,1993-04-13,Database Administrator IV,Retail,Mass Customer,N,Yes,4.0,Alair-Combe,29
2304,2305,F,91,1984-07-09,Chief Design Engineer,Financial Services,Affluent Customer,N,Yes,13.0,Aeriell-Greeding,38
2305,2306,F,98,1960-04-19,Paralegal,Financial Services,High Net Worth,N,Yes,9.0,Hilary-Tregunna,62
2306,2307,F,57,1978-06-28,Desktop Support Technician,Retail,High Net Worth,N,Yes,13.0,Corina-Shadwick,44
2307,2308,F,52,1963-03-19,Paralegal,Financial Services,Mass Customer,N,Yes,17.0,Nancey-Hastie,59
2308,2309,M,40,1985-01-13,Accounting Assistant I,Manufacturing,Affluent Customer,N,No,14.0,Herc-McIlhone,37
2310,2311,F,49,1989-02-15,Design Engineer,Health,Mass Customer,N,No,16.0,Addi-nan,33
2311,2312,F,72,1979-08-10,Assistant Manager,Manufacturing,Mass Customer,N,No,18.0,Ronnica-Grebner,43
2312,2313,F,54,1966-07-10,Chemical Engineer,Manufacturing,Mass Customer,N,No,12.0,Christa-Pauley,56
2313,2314,M,59,1993-12-22,Registered Nurse,Health,High Net Worth,N,Yes,7.0,Ravid-Lapenna,29
2314,2315,M,25,1994-03-01,Community Outreach Specialist,Financial Services,Affluent Customer,N,No,8.0,Pernell-MacCheyne,28
2315,2316,M,79,1978-03-21,Computer Systems Analyst IV,Financial Services,Affluent Customer,N,Yes,11.0,Vernen-Bourgaize,44
2316,2317,M,97,1976-12-07,Tax Accountant,Health,Mass Customer,N,Yes,16.0,Alwin-Cuberley,46
2317,2318,F,30,1988-03-01,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,6.0,Willa-Malyan,34
2318,2319,M,63,1985-05-03,Librarian,Entertainment,High Net Worth,N,No,18.0,David-Darrigrand,37
2319,2320,F,14,1965-12-21,Senior Developer,Manufacturing,Affluent Customer,N,No,16.0,Kaylyn-Throssell,57
2320,2321,F,27,1980-03-25,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,20.0,Libbi-Freeberne,42
2321,2322,M,72,1992-05-24,Biostatistician III,Health,Mass Customer,N,Yes,2.0,Hazlett-Rosenschein,30
2322,2323,M,2,1988-04-30,Desktop Support Technician,Property,High Net Worth,N,No,13.0,Adair-Piser,34
2323,2324,M,44,1966-08-05,Sales Associate,Manufacturing,Mass Customer,N,Yes,16.0,Jerrold-Robben,56
2324,2325,M,50,1964-01-06,Database Administrator IV,Retail,High Net Worth,N,Yes,12.0,Emmett-Whatsize,58
2325,2326,M,64,1966-06-22,Programmer Analyst I,Retail,High Net Worth,N,No,14.0,Trev-Boothebie,56
2327,2328,M,63,1986-06-03,Dental Hygienist,Health,Mass Customer,N,Yes,8.0,Gayler-Shackle,36
2328,2329,F,7,1957-12-19,Computer Systems Analyst II,IT,Affluent Customer,N,No,20.0,Donny-Stiven,65
2329,2330,F,5,1990-01-17,Account Coordinator,Property,Mass Customer,N,No,9.0,Claresta-Bonnor,32
2330,2331,F,48,1963-04-11,Database Administrator III,Financial Services,Mass Customer,N,Yes,10.0,Marybelle-Antal,59
2331,2332,M,99,1977-04-20,Developer III,Property,High Net Worth,N,Yes,10.0,Jeff-Goodere,45
2332,2333,M,82,1966-04-19,Structural Analysis Engineer,Financial Services,Mass Customer,N,Yes,10.0,Ives-Adolfson,56
2333,2334,M,30,1996-03-16,Food Chemist,Health,Affluent Customer,N,No,5.0,Zebulen-Hefford,26
2335,2336,M,59,1978-01-19,Dental Hygienist,Health,Affluent Customer,N,No,17.0,Karney-Labrone,44
2336,2337,F,47,2000-01-11,Programmer Analyst II,Health,Mass Customer,N,No,1.0,Odilia-Bick,22
2337,2338,F,13,1986-11-28,Programmer Analyst IV,Manufacturing,Mass Customer,N,No,5.0,Clarie-Hackworth,36
2338,2339,M,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,Damien-Haddeston,64
2339,2340,M,33,1978-03-29,Research Assistant IV,Health,Mass Customer,N,Yes,16.0,Joachim-Amer,44
2342,2343,M,6,1959-03-24,Nurse Practicioner,Argiculture,High Net Worth,N,Yes,5.0,Wilhelm-Corteis,63
2343,2344,M,93,1993-03-04,Nurse,Financial Services,Mass Customer,N,Yes,7.0,Wat-Robelin,29
2344,2345,F,50,1986-07-15,Systems Administrator I,Retail,Affluent Customer,N,Yes,3.0,Arden-Godard,36
2347,2348,F,2,1957-11-07,Web Designer IV,Manufacturing,Mass Customer,N,No,16.0,Keeley-Winslet,65
2348,2349,F,23,1979-03-05,Executive Secretary,Telecommunications,High Net Worth,N,No,3.0,Julee-Garwell,43
2350,2351,F,35,1992-03-15,Assistant Professor,Retail,Affluent Customer,N,Yes,10.0,Felicity-Beirne,30
2352,2353,M,93,1978-12-27,Health Coach IV,Health,Affluent Customer,N,Yes,12.0,Lyn-Luquet,44
2353,2354,F,99,1958-12-19,Product Engineer,Retail,Mass Customer,N,No,17.0,Tammie-Fisbey,64
2354,2355,M,87,1993-12-19,Operator,Manufacturing,Mass Customer,N,Yes,4.0,Shaughn-nan,29
2355,2356,F,58,1994-12-17,Geological Engineer,Manufacturing,Affluent Customer,N,No,3.0,Arluene-Manchester,28
2356,2357,F,39,1962-10-15,Civil Engineer,Manufacturing,Mass Customer,N,No,6.0,Lisette-Mingardi,60
2357,2358,M,26,1959-05-01,Senior Sales Associate,Retail,High Net Worth,N,Yes,15.0,Ave-Peatt,63
2358,2359,F,80,1986-03-25,Mechanical Systems Engineer,Property,High Net Worth,N,Yes,7.0,Merlina-Bream,36
2359,2360,F,0,1974-11-03,VP Accounting,Financial Services,High Net Worth,N,Yes,5.0,Karleen-McGenn,48
2361,2362,M,49,1972-06-05,Developer II,Financial Services,Affluent Customer,N,Yes,19.0,Herbie-Machans,50
2362,2363,M,92,1983-12-30,Nurse,Entertainment,Mass Customer,N,Yes,16.0,Bobby-Farmiloe,39
2364,2365,F,2,1998-10-18,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3.0,Lauretta-Furmonger,24
2365,2366,F,51,1975-06-15,Web Designer I,Health,Mass Customer,N,Yes,15.0,Idette-Mapam,47
2366,2367,M,40,1957-05-22,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,16.0,Lorne-Sabin,65
2367,2368,F,98,1993-01-22,Chemical Engineer,Manufacturing,Mass Customer,N,No,10.0,Rowe-Losbie,29
2368,2369,F,80,1996-10-28,Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0,Averyl-Gosz,26
2369,2370,F,35,1996-03-19,Analyst Programmer,Property,High Net Worth,N,No,7.0,Juliane-Calltone,26
2370,2371,F,22,1966-11-18,Staff Scientist,Manufacturing,High Net Worth,N,Yes,8.0,Rory-Lokier,56
2371,2372,M,14,1977-09-10,Clinical Specialist,Health,Affluent Customer,N,No,10.0,Jim-Shoppee,45
2372,2373,F,51,1982-05-22,Structural Engineer,Manufacturing,High Net Worth,N,Yes,16.0,Cordy-Readshall,40
2373,2374,M,6,1993-06-15,Design Engineer,Financial Services,Mass Customer,N,No,9.0,Dolf-Baudichon,29
2374,2375,F,21,1987-03-17,Sales Representative,Retail,Affluent Customer,N,No,8.0,Alika-Milbourne,35
2376,2377,F,29,1998-10-02,Analog Circuit Design manager,IT,High Net Worth,N,No,2.0,Kristien-Dunne,24
2377,2378,F,41,1994-04-25,Research Assistant II,Manufacturing,Affluent Customer,N,No,1.0,Aggi-Farncombe,28
2378,2379,F,85,1981-05-05,Occupational Therapist,Health,Affluent Customer,N,Yes,15.0,Trixie-Piscopiello,41
2379,2380,F,44,1956-04-09,Technical Writer,Retail,Mass Customer,N,Yes,15.0,Merissa-Milella,66
2380,2381,F,91,1973-02-12,Programmer I,Argiculture,Affluent Customer,N,Yes,5.0,Dulsea-Pladen,49
2381,2382,M,79,1971-07-05,Accounting Assistant III,Retail,Mass Customer,N,Yes,4.0,Turner-Huggens,51
2382,2383,F,34,1978-09-15,Compensation Analyst,Financial Services,Mass Customer,N,No,15.0,Zaria-Eberz,44
2383,2384,M,96,1961-07-16,Operator,Health,High Net Worth,N,Yes,6.0,Garey-Letrange,61
2384,2385,M,70,1958-12-17,Dental Hygienist,Health,Mass Customer,N,No,8.0,Gaultiero-Lissenden,64
2385,2386,F,93,1997-07-06,Compensation Analyst,Financial Services,Mass Customer,N,No,2.0,Adrianne-Lowerson,25
2387,2388,M,84,1997-05-28,Cost Accountant,Financial Services,Mass Customer,N,No,1.0,Quincy-Weben,25
2388,2389,M,18,1973-12-28,Desktop Support Technician,Retail,High Net Worth,N,No,7.0,Sibyl-Gudge,49
2389,2390,F,48,1964-05-06,Legal Assistant,Property,Mass Customer,N,No,12.0,Tonya-Nealand,58
2390,2391,F,72,1961-04-22,Nurse Practicioner,Health,Mass Customer,N,No,14.0,Corny-Millott,61
2391,2392,F,48,2001-01-11,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2.0,Isadora-Gronaller,21
2392,2393,F,68,1981-06-21,Registered Nurse,Health,High Net Worth,N,Yes,11.0,Dorian-Colledge,41
2395,2396,F,40,1973-08-02,Recruiter,Retail,Affluent Customer,N,Yes,7.0,Elmira-Wildblood,49
2396,2397,M,33,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,Cassius-Birchenough,37
2397,2398,F,6,2000-10-11,Administrative Assistant IV,Financial Services,High Net Worth,N,Yes,1.0,Mirelle-nan,22
2398,2399,F,20,1980-06-11,Software Consultant,Manufacturing,High Net Worth,N,Yes,14.0,Devonne-McPolin,42
2399,2400,M,73,1978-02-28,Office Assistant III,Property,Mass Customer,N,Yes,22.0,Lindsay-Stollsteiner,44
2401,2402,F,99,1957-06-07,Cost Accountant,Financial Services,Mass Customer,N,Yes,8.0,Merrielle-Strafen,65
2402,2403,F,41,1977-10-25,Technical Writer,Financial Services,Affluent Customer,N,No,12.0,Karalee-Tremlett,45
2403,2404,M,13,1960-03-14,Graphic Designer,Retail,Mass Customer,N,No,6.0,Conney-Grouse,62
2407,2408,F,38,1955-10-10,VP Marketing,Health,Mass Customer,N,No,16.0,Celestia-nan,67
2409,2410,F,75,1974-08-24,Geological Engineer,Manufacturing,Mass Customer,N,Yes,21.0,Eugenia-Verey,48
2410,2411,M,0,1964-05-27,Technical Writer,Financial Services,High Net Worth,N,No,13.0,Casey-McDade,58
2411,2412,F,77,1981-05-26,Chemical Engineer,Manufacturing,Affluent Customer,N,No,8.0,Tiffi-Havercroft,41
2412,2413,M,27,1943-08-11,Environmental Specialist,Manufacturing,High Net Worth,N,Yes,17.0,Abbey-Murrow,79
2414,2415,M,56,1978-11-05,Web Designer II,Manufacturing,Mass Customer,N,No,3.0,Tanner-Harp,44
2415,2416,M,19,1959-12-29,Office Assistant I,Health,Affluent Customer,N,No,16.0,Eberhard-Shalcras,63
2417,2418,F,82,1970-04-05,Software Engineer III,Property,Mass Customer,N,Yes,13.0,Elspeth-Brazil,52
2418,2419,M,96,1978-07-04,Physical Therapy Assistant,Property,High Net Worth,N,No,9.0,Aron-Karlsen,44
2419,2420,F,10,1976-08-26,Staff Scientist,Financial Services,High Net Worth,N,No,16.0,Celie-Guyers,46
2420,2421,F,54,1954-08-16,Research Nurse,Health,Affluent Customer,N,Yes,13.0,Marilee-Garbott,68
2421,2422,F,96,1978-11-30,Librarian,Entertainment,High Net Worth,N,No,13.0,Crysta-Woliter,44
2422,2423,M,49,1981-02-20,Professor,IT,Mass Customer,N,Yes,20.0,Lenci-Symcox,41
2428,2429,F,54,1980-11-11,Assistant Professor,Manufacturing,Mass Customer,N,Yes,3.0,Emeline-Baldi,42
2430,2431,M,15,1999-12-24,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2.0,Alvy-Tyndall,23
2431,2432,F,67,1981-02-21,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,Yes,5.0,Ebba-Melhuish,41
2434,2435,F,69,1961-08-12,Account Coordinator,Manufacturing,Mass Customer,N,No,14.0,Orly-Ceney,61
2435,2436,M,37,1986-03-21,Help Desk Technician,IT,Mass Customer,N,No,4.0,Jaymie-Wellesley,36
2436,2437,F,90,1977-05-01,Marketing Manager,Financial Services,Mass Customer,N,Yes,18.0,Simonette-Cressingham,45
2437,2438,F,76,1983-01-29,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,4.0,Lorianne-Ethersey,39
2439,2440,F,17,1959-09-21,Engineer II,Manufacturing,Affluent Customer,N,No,8.0,Lethia-Juanes,63
2441,2442,M,8,1957-10-13,Social Worker,Health,Affluent Customer,N,Yes,17.0,Odie-Enrrico,65
2442,2443,M,30,1990-02-13,Computer Systems Analyst I,Property,High Net Worth,N,No,20.0,Towny-Python,32
2443,2444,M,22,1977-05-13,Associate Professor,Manufacturing,High Net Worth,N,No,11.0,Emmet-Cristoforo,45
2444,2445,M,46,1976-03-11,Quality Control Specialist,Retail,Affluent Customer,N,No,18.0,Johnnie-Prujean,46
2447,2448,F,5,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,Lorri-Iston,30
2449,2450,M,64,1974-06-21,Structural Engineer,Retail,Affluent Customer,N,Yes,7.0,Jayson-Breheny,48
2450,2451,M,33,1973-03-09,Editor,Argiculture,Affluent Customer,N,Yes,18.0,Upton-Orford,49
2451,2452,F,93,1975-07-24,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,17.0,Sophronia-Yerrill,47
2452,2453,F,22,1992-08-05,Safety Technician II,Telecommunications,High Net Worth,N,No,9.0,Ruthe-Campe,30
2453,2454,F,81,1960-02-13,Senior Sales Associate,Property,Mass Customer,N,Yes,12.0,Gene-Brome,62
